source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description,unmapped_reason
2026,2753,NA-LOBLAWS,TDRG,ROAST & GROUND,224166.0,000J7OJYZ,TPR/ISF,TD LCL & SDM - R&G & SS 25% Flowback from Cancelled Promos,Product ID not found in product list or no pack size
2026,2866,NA-LOBLAWS,TDL,TDL CAN,67039.0,000ISOJWM,Display,TD MRKT WK 30 DMAP Tims,Product ID not found in product list or no pack size
2026,2880,NA-LOBLAWS,TDL,TDL CAN,82464.0,000ISONFA,Display Allowance,TD Market Profit Panel - WK 34 - 37,Product ID not found in product list or no pack size
2026,2883,NA-LOBLAWS,TUSSKC-4/24,SS KCOMP 4/24CT,19.0,000JE7SHU,TPR/ISF,TD LCL AI Wk 33 R&G Large Can + SS 24Ct/30Ct FP,Product ID not found in product list or no pack size
2026,2927,NA-LOBLAWS,TDL,TDL CAN,71481.0,000ISOPM2,Display,TD Market Profit Panel - WK 38 - 41,Product ID not found in product list or no pack size
2026,2929,NA-LOBLAWS,TDL,TDL CAN,71481.0,000ISOQEY,Display,TD Market Tims IT,Product ID not found in product list or no pack size
2026,2972,NA-LOBLAWS,TDL,TDL CAN,80313.0,000ISOQEQ,Display,TD LCL MRKT WK 42 Omni Placement IW RTS Soup,Product ID not found in product list or no pack size
2026,3011,NA-LOBLAWS,TDL,TDL CAN,100030.0,000IUB10J,Display,TD MRKT Profit Panel - WK 46 - 49,Product ID not found in product list or no pack size
2026,3015,NA-LOBLAWS,TDL,TDL CAN,100030.0,000IVXC2X,Display,TD MRKT WK 47-49 COFFEE- BigBrand,Product ID not found in product list or no pack size
2026,3054,NA-LOBLAWS,TDL,TDL CAN,75657.0,000IUB0ZR,Display,TD MRKT WK 47-49 SOUP - BigBrand,Product ID not found in product list or no pack size
